"Story","Title","Result","Date","Stability","Duration (s)"
"Busqueda de un usuario",": Busqueda de un usuario exitoso","PENDING","2022-03-27T13:44:58.1295751-05:00[America/Bogota]","0.0","0.45"
"Busqueda de un usuario","Busqueda de un usuario exitoso","SUCCESS","2022-03-27T18:07:30.9412767-05:00[America/Bogota]","0.0","7.2"
